number;adress;;;;;;;;
8314622345;ВВБ Нижегородский  603005 г. НИЖНИЙ НОВГОРОД ул. ОКТЯБРЬСКАЯ 35 ;Удален;;;;;;;Ростелеком
8352302024;ВВБ Чувашия  428032 г. ЧЕБОКСАРЫ пр-кт МОСКОВСКИЙ 3 ;Удален;;;;;;;Ростелеком
8352302089;ВВБ Чувашия  428032 г. ЧЕБОКСАРЫ пр-кт МОСКОВСКИЙ 3 ;Удален;;;;;;;Ростелеком
8352302365;ВВБ Чувашия  428032 г. ЧЕБОКСАРЫ пр-кт МОСКОВСКИЙ 3 ;Удален;;;;;;;Ростелеком
4922407836;ВВБ Владимир  600015 Г.ВЛАДИМИР ПР-КТ.ЛЕНИНА 36 Для подбора кандидатов. За отделом по подбору персонала числится 1 номер.ЕКТС использовать не можем. Нам на этот номер звонят кандидаты. По ЕКТС они не дозваниваются, особенно с удаленных территорий.;Используется;;;;;;;Ростелеком
4752790748;ЦЧБ Тамбовское ГОСБ 8594/ УРМ Отдела сопровождения оформления документов Управления кадрового администрирования Центра HR  администрирования ПАО Сбербанк г. Тамбов   ул. Карла Маркса, д.130 ;Используется;;;;;;;Ростелеком
4752790559;ЦЧБ Тамбовское ГОСБ 8594/Управление по работе с персоналом г. Тамбов   ул.Карла Маркса 130 ;Используется;;;;;;;Ростелеком
4752790562;ЦЧБ Тамбовское ГОСБ 8594/Управление по работе с персоналом г. Тамбов   ул.Карла Маркса 130 ;Используется;;;;;;;Ростелеком
4752790775;ЦЧБ Тамбовское ГОСБ 8594/Управление по работе с персоналом г. Тамбов   ул.Карла Маркса 130 ;Используется;;;;;;;Ростелеком
4752798366;ЦЧБ Тамбовское ГОСБ 8594/Управление по работе с персоналом г. Тамбов   ул.Карла Маркса 130 ;Используется;;;;;;;Ростелеком
4752798369;ЦЧБ Тамбовское ГОСБ 8594/Управление по работе с персоналом г. Тамбов   ул.Карла Маркса 130 ;Используется;;;;;;;Ростелеком
4752790626;ЦЧБ Тамбовское ГОСБ 8594/УРМ Отдела сопровождения оформления документов Управления кадрового администрирования Центра HR  администрирования ПАО Сбербанк г. Тамбов   ул. Карла Маркса, д.131 ;Используется;;;;;;;Ростелеком
4732609560;"ЦЧБ Воронежское ГОСБ Отдел подбора и адаптации  Центра развития талантов  ЦЧБ  г. Воронеж  ул. 9 января, д. 28, каб. 903 Номер указан на объявлениях на сайтах, маркетинговой (буклеты, визитки, анкеты) и сувенирной продукции. Является входом для обращения внешних кандидатов. 
В связи с специфичностью рынка труда в г. Воронеже (11 ПЦП на территории) считаем целесообразным сохранить данный городской номер телефона.
";Используется;;;;;;;Ростелеком
4732679818;ЦЧБ Воронежское ГОСБ Отдел подбора и адаптации  Центра развития талантов  ЦЧБ  г. Воронеж  ул. 9 января, д. 28, каб. 903 ;Используется;;;;;;;Ростелеком
4712510611;ЦЧБ Курское ГОСБ Управление по работе с персоналом г. Курск, ул. Ленина 67а ;Используется;;;;;;;Ростелеком
4212473842;ДВБ 9070  г.Хабаровск, ул.Гамарника,12 ;Удален;;;;;;;Рэдком-Интернет
4232422138;ДВБ 8635  г.Владивосток, ул.Фонтанная,18 Управление по работе с персоналом;Используется;;;;;;;Ростелеком
4232422150;ДВБ 8635  г.Владивосток, ул.Фонтанная,18 Управление по работе с персоналом ГОСБ 8635 (Резникова А.А.) - ПЦЦ Воронеж;Используется;;;;;;;Ростелеком
3512391775;УБ Челябинская область HR Челябинского ГОСБ 8597 Челябинск, Энтузиастов, 9-А ;Удален;;;;;;;Ростелеком
3472234317;УБ Республика Башкортостан HR Башкирского ГОСБ 8598 Уфа ;Удален;;;;;;;Башинформсвязь
3522489638;УБ Курганская область HR Курганского ГОСБ 8599 г.Курган, ул.Гоголя 98 ;Удален;;;;;;;Ростелеком
8652320788;ЮЗБ Ставропольское ГОСБ (5230) Управление по работе с персоналом/группа подбора ЕРКЦ г. СТАВРОПОЛЬ ул. ЛЕНИНА д.361 индекс 355000 ;Удален;;;;;;;Ростелеком
8652320109;СКБ Ставропольское ГОСБ (5230) СГОСБ № 5230 Управление по работе с персоналом/группа подбора ГОСБ г. СТАВРОПОЛЬ ул. ЛЕНИНА д.361 индекс 355029 ;Удален;;;;;;;Ростелеком
8652320034;СКБ Ставропольское ГОСБ (5230) Управление по работе с персоналом/группа подбора ЦКР 355035, г.Ставрополь, пр-т Кулакова, дом 7 ;Удален;;;;;;;Ростелеком
